GLOBALEVENTID,SQLDATE,EventCode,EventRootCode,GoldsteinScale,NumMentions,NumSources,AvgTone,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,ActionGeo_FullName,DATEADDED,SOURCEURL,Description,EventCategory
1300065529,20250420,193,193,4,-10.0,8,8,BEL,BEL,NLD,NLD,4,20260420101500,https://www.dutchnews.nl/2026/04/belgian-murderer-claims-to-hold-key-to-missing-student-cold-case/,belgian-murderer-claims-to-hold-key-to-missing-student-cold-case,Conventional_War
1300065578,20260420,190,190,4,-10.0,8,8,,,HUN,HUN,4,20260420101500,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shah-rukh-khan-is-just-sitting-imtiaz-ali-on-how-safar-became-a-blues-country-song-about-modern-life/articleshow/130388364.cms,130388364.cms,Conventional_War
1300065584,20260420,191,191,4,-9.5,3,3,,,IND,IND,4,20260420101500,https://www.livemint.com/companies/news/alivaa-hotels-unbranded-hotels-80-properties-fundraising-plan-ananta-capital-hotel-room-inventory-romesh-koul-11776662395873.html,alivaa-hotels-unbranded-hotels-80-properties-fundraising-plan-ananta-capital-hotel-room-inventory-romesh-koul-11776662395873.html,Conventional_War
1300065595,20260420,190,190,4,-10.0,12,6,,,IRL,IRL,4,20260420101500,https://www.perthnow.com.au/news/crime/not-as-creepy-as-you-think-sister-of-man-allegedly-murdered-by-mum-moved-into-dead-brothers-room-sleeps-in-bed-court-told-c-22168247,not-as-creepy-as-you-think-sister-of-man-allegedly-murdered-by-mum-moved-into-dead-brothers-room-sleeps-in-bed-court-told-c-22168247,Conventional_War
1300065663,20260420,180,180,4,-9.0,2,2,AUS,AUS,USA,USA,3,20260420101500,https://www.sungazette.com/news/2026/04/several-charged-in-district-courts/,several-charged-in-district-courts,Terror_Violence
1300065760,20260420,193,193,4,-10.0,1,1,COP,,MDV,MDV,3,20260420101500,https://time.com/article/2026/04/20/louisiana-shooting-shreveport-shamar-elkins/,louisiana-shooting-shreveport-shamar-elkins,Conventional_War
1300065766,20260420,190,190,4,-10.0,4,4,COP,,UAF,,4,20260420101500,https://thefrontierpost.com/security-forces-kill-two-indian-sponsored-terrorists-in-bannu/,security-forces-kill-two-indian-sponsored-terrorists-in-bannu,Conventional_War
1300065819,20260420,202,202,4,-10.0,5,5,EDU,,ISR,ISR,1,20260420101500,https://www.washingtonexaminer.com/opinion/4533442/universities-cannot-survive-left-wing-echo-chambers/,universities-cannot-survive-left-wing-echo-chambers,Mass_Violence
1300065835,20260420,163,163,4,-8.0,8,8,EUR,EUR,RUS,RUS,1,20260420101500,https://bnn-news.com/baltic-states-deny-slovak-pm-use-of-their-airspace-to-get-to-moscow-279427,baltic-states-deny-slovak-pm-use-of-their-airspace-to-get-to-moscow-279427,Sanctions
1300065991,20260420,183,183,4,-10.0,10,10,IND,IND,GOV,,0,20260420101500,https://news.webindia123.com/news/Articles/India/20260420/4441415.html,4441415.html,Terror_Violence
1300066013,20260420,194,194,4,-10.0,1,1,IRN,IRN,,,0,20260420101500,https://links.org.au/pakistan-how-regional-warmonger-came-host-us-iran-peace-talks,pakistan-how-regional-warmonger-came-host-us-iran-peace-talks,Conventional_War
1300066036,20260420,196,196,4,-9.5,1,1,IRNGOV,IRN,USA,USA,4,20260420101500,https://www.albawaba.net/news/us-prepares-risky-scenario-transferring-1625835,us-prepares-risky-scenario-transferring-1625835,Conventional_War
1300066045,20260420,190,190,4,-10.0,1,1,ISR,ISR,LBN,LBN,4,20260420101500,https://tribune.com.pk/story/2603747/israeli-soldier-filmed-smashing-jesus-statue-in-southern-lebanon-report,israeli-soldier-filmed-smashing-jesus-statue-in-southern-lebanon-report,Conventional_War
1300066063,20260420,193,193,4,-10.0,5,5,JPN,JPN,,,0,20260420101500,https://metro.co.uk/2026/04/20/warning-three-metre-high-tsunami-7-4-magnitude-earthquake-hits-japan-28044441/,warning-three-metre-high-tsunami-7-4-magnitude-earthquake-hits-japan-28044441,Conventional_War
1300066075,20260420,192,192,4,-9.5,10,10,JUD,,,,0,20260420101500,https://www.onegreenplanet.org/news/how-the-supreme-courts-latest-ruling-could-cost-louisiana-its-coast/,how-the-supreme-courts-latest-ruling-could-cost-louisiana-its-coast,Conventional_War
1300066156,20260420,190,190,4,-10.0,10,10,MIL,,CRM,,0,20260420101500,https://www.washingtonexaminer.com/news/4535134/three-narco-terrorists-killed-in-military-strike-in-caribbean/,three-narco-terrorists-killed-in-military-strike-in-caribbean,Conventional_War
1300066240,20260420,190,190,4,-10.0,8,8,PRK,PRK,,,0,20260420101500,https://tribune.com.pk/story/2603755/north-korean-leader-kim-oversaw-test-of-missiles-with-cluster-warheads,north-korean-leader-kim-oversaw-test-of-missiles-with-cluster-warheads,Conventional_War
1300066246,20260420,190,190,4,-10.0,4,4,RAD,,CRM,,4,20260420101500,https://www.sentinelassam.com/more-news/editorial/illegal-migrants-as-terror-operatives,illegal-migrants-as-terror-operatives,Conventional_War
1300066268,20260420,190,190,4,-10.0,4,4,RUS,RUS,UKR,UKR,4,20260420101500,https://thefrontierpost.com/ukrainian-drones-kill-man-in-south-russia-governor/,ukrainian-drones-kill-man-in-south-russia-governor,Conventional_War
1300066315,20260420,192,192,4,-9.5,4,4,USA,USA,,,0,20260420101500,https://www.el-balad.com/16918764,16918764,Conventional_War
